,Station,Latitude,Longitude,sample_name,Weather,Date,Event No.,Sampler_used,Sampling_Start_Time,Sampling_End_Time,Sample_Depth,Volume_sampled,Volume_error,Filepath,Read_Start_Time,Read_End_Time,Slope,stderr_slope,cnt219,cnt219_abserr,cnt220,cnt220_abserr,cpm_219,err_219,cpm_220,err_220,cpm_Tot,err_Tot,y219cc,y219cc_err,y220cc,y220cc_err,corr219,corr219_err,corr220,corr220_err,final219,final220,Read_Runtime,final219_err,final220_err,cntTot_abserr,errslope_abs,Detector_Name,Cartridge_Type,Read_Number,Spike_Value,Error_List,Mid_Sample_Datetime,Mid_Read_Datetime,Detector 226 Calibration Factor,Detector 226 Efficiency,blankcorr223,blankcorr223_err,blankcorr224,blankcorr224_err,dpm223,dpm223_err,dpm223_thstdonly,dpm223_thstdonly_err,dpm224,dpm224_err,vdpm223 (dpm/m^3),vdpm223_err (dpm/m^3),vdpm223_thstdonly (dpm/m^3),vdpm223_thstdonly_err (dpm/m^3),vdpm224 (dpm/m^3),vdpm224_err (dpm/m^3),t1_(mins),sampling_to_read_time_(days),vdpm226 (dpm/m^3),vdpm226_err (dpm/m^3),read_number,subsample_dummy_column
0,1,41 22.97,13 53.26,StnX001,"Calm, sunny, clouds",12/24/17,11,Sampler001,16:50:00,18:20:00,300,900,1,/Users/seanselzer/Documents/GitHub/RaDeCC_Reader/Output_Folder_Example/RaDeCC_Reader_Ouput_2020-07-15_200641/Read_Files/StnX001/1-StnX001-300-171220-detector1.txt,2017-12-20 20:41:48.000000000,2017-12-21 13:34:24.000000000,0.00013019327413750652,6.589377071347487e-05,0,0.0,14,0.003695099137639681,0.0,0.0,0.013825794983211534,0.2672612419124244,0.42761208769504244,0.2672612419124244,1.6056596336406586e-05,8.837774091812858e-06,0.00171930520964942,0.0009521843503545869,-1.6056596336406586e-05,8.837774091812858e-06,0.012106489773562113,0.0038158108802777034,-0.0003247720855622405,0.012106489766962067,1012.6,9.770370818037632e-05,0.0038158108802777034,0.11428413761414158,0.506122694509393,detector1,0,1,{},{'Err223_CR10': '90%'},2017-12-24 16:50:00.000000000,2017-12-21 05:08:06.000000000,0.000186,0.2,-0.0006589255233082784,0.0010189947716742,0.00474517505460819,0.006928291089947581,-0.0040591886442155585,0.0062778355003416005,-0.0016264318677458283,-1.5499484557965482,0.010658428494574023,0.016587945982902065,-0.004510209604683954,0.006975374578316717,-0.001807146519717587,1.722164950886224,0.01184269832730447,0.018431055789282128,-5021.9,-3.487430555555555,3.888687996938665,0.39363159797670083,Error: Read prior to sampling,None
1,1,41 22.97,13 53.26,StnX001,"Calm, sunny, clouds",12/24/17,11,Sampler001,16:50:00,18:20:00,300,900,1,/Users/seanselzer/Documents/GitHub/RaDeCC_Reader/Output_Folder_Example/RaDeCC_Reader_Ouput_2020-07-15_200641/Read_Files/StnX001/4-StnX001-400-171220-detector1.txt,2017-11-28 19:07:19.000000000,2017-11-29 09:30:59.800000000,0.004099068659324611,0.0003677742279559724,41,0.007413769263422621,1119,0.03873130947498548,0.04747128566135606,0.15617376188860607,1.2956187476843275,0.02989406377779755,4.888384586884031,0.02989406377779755,0.0012568667524775117,0.00010382261487712745,0.1303110450980052,0.01133135135630318,0.04621441890887855,0.007414496195064768,1.1653077025863223,0.04035484924029693,0.01649907249292733,1.1652530672090116,863.68,0.007485565774360602,0.04035486453414637,0.14613368061071377,0.08972141198936864,detector1,0,4,{},{'Err223_CR10': '100%'},2017-12-24 16:50:00.000000000,2017-11-29 02:19:09.400000000,0.000186,0.2,0.016164919055181293,0.007553972418031853,1.1578917524966577,0.04076709330234749,0.0995809898727461,0.04671100999003896,0.039900016862115584,0.5146273199521199,2.600811625791886,0.5603003917366546,0.11064554430305124,0.051901267815885666,0.04433335206901731,0.5718081354018909,2.8897906953243178,0.622564270935199,-36870.85,-25.604756944444443,122.4333530264221,2.197147123633318,Error: Read prior to sampling,None
2,1,41 22.97,13 53.26,StnX001,"Calm, sunny, clouds",12/24/17,11,Sampler001,16:50:00,18:20:00,400,900,1,/Users/seanselzer/Documents/GitHub/RaDeCC_Reader/Output_Folder_Example/RaDeCC_Reader_Ouput_2020-07-15_200641/Read_Files/StnX009/5-StnX009-4100b-190813-detector2.txt,2019-08-13 17:58:02.000000000,2019-08-14 12:54:47.000000000,0.01093724351040897,0.0003125706320921305,88,0.008252325946467439,1227,0.03081465562021024,0.07741367934902134,0.10660035817780522,1.0793930063778316,0.028548133476995915,7.962172861227183,0.028548133476995915,0.004962484561418992,0.0003156317383860985,0.49694930793825276,0.03474636802135834,0.07245119478760234,0.008258359820267966,0.5824436984395789,0.04644193247128965,0.05759888047739308,0.5823094751377668,1136.75,0.008342841281234671,0.04644197305028885,0.22730517360922808,0.028578556543488967,detector2,b,5,{},{'Err223_CR10': '32%'},2017-12-24 16:50:00.000000000,2019-08-14 03:26:24.500000000,0.000194,0.3,0.05633929915850058,0.00844845507096603,0.5783622159985168,0.04648919273411113,0.2906350404139483,0.043585570820213554,0.12972799631044196,0.15012576841002426,1.2118910425737686,0.09778295391441341,0.3229278226821648,0.048429741220601834,0.1441422181227133,0.16680648623176128,1.346545602859743,0.10865802772573008,860316.4,597.4419444444445,208.8057180299536,1.7915623277160715,5,None
3,1,41 22.97,13 53.26,StnX001,"Calm, sunny, clouds",12/24/17,11,Sampler001,16:50:00,18:20:00,400,900,1,/Users/seanselzer/Documents/GitHub/RaDeCC_Reader/Output_Folder_Example/RaDeCC_Reader_Ouput_2020-07-15_200641/Read_Files/StnX009/5-StnX009-3200b-190811-detector1.txt,2019-11-08 15:24:24.000000000,2019-11-09 09:30:39.000000000,0.0016287192380964718,0.00013285050732813887,9,0.0027617951668584577,106,0.009478140521046721,0.008285385500575374,0.3333333333333333,0.09758342922899885,0.09712858623572643,1.2805523590333716,0.09712858623572643,0.00013141238650970057,2.7597513471093484e-05,0.013962833398836,0.002983762916011811,0.008153973114065674,0.002761933048868586,0.08362059583016285,0.00993669909354586,0.006021647920396521,0.08361889397788742,1086.25,0.0027735317816277015,0.009936699361272101,0.12437824023373574,0.08156746983808262,detector1,b,5,{},{'Err223_CR10': '28%'},2017-12-24 16:50:00.000000000,2019-11-09 00:27:31.500000000,0.000186,0.2,0.005687494482650483,0.0029531818220025147,0.07625757926553355,0.011496903885364385,0.03503675635768689,0.018252566006119252,0.014038494407938657,0.5653399742064896,0.17128682217564928,0.0473320550005478,0.038929729286318764,0.02028067502381718,0.015598327119931843,0.6281555271351964,0.190318691306277,0.05259159736409975,985417.5166666667,684.3177199074074,48.64752801960788,0.7936847821444264,5,None
4,1,41 22.97,13 53.26,StnX001,"Calm, sunny, clouds",12/24/17,11,Sampler001,16:50:00,18:20:00,400,900,1,/Users/seanselzer/Documents/GitHub/RaDeCC_Reader/Output_Folder_Example/RaDeCC_Reader_Ouput_2020-07-15_200641/Read_Files/StnX009/4-StnX009-3800A-180513-detector1.txt,2018-05-13 20:52:43.000000000,2018-05-14 06:42:53.200000000,0.007329864925401282,0.0005156000457144384,26,0.008639916487779429,251,0.026844772722698307,0.044055102766999345,0.19611613513818402,0.42530118440449366,0.06311944030978031,4.01240320585594,0.06311944030978031,0.0012552148266009534,0.00017467648927644604,0.13014283643623614,0.01906429774320953,0.04279988794039839,0.00864168205800866,0.2951583479682575,0.0329255109447837,0.035273350067207825,0.2951114852013589,590.17,0.00868237282314923,0.032925532780145435,0.2532606446507952,0.0703423666004611,detector1,a,4,{},{'Err223_CR10': '1%'},2017-12-24 16:50:00.000000000,2018-05-14 01:47:48.100000000,0.000186,0.2,0.03493919662946179,0.008741418773303764,0.28775017048900503,0.0334295006485205,0.21523644961309696,0.05454254664208172,0.08624073711135959,0.3287168929018852,0.6463332924841451,0.15885973976502413,0.23915161068121885,0.0606034121568866,0.09582304123484399,0.3652410076315493,0.7181481027601612,0.17651262555797176,202137.8,140.3734722222222,218.9326441278758,3.0804322841132517,4,None
5,1,41 22.97,13 53.26,StnX001,"Calm, sunny, clouds",12/24/17,11,Sampler001,16:50:00,18:20:00,400,900,1,/Users/seanselzer/Documents/GitHub/RaDeCC_Reader/Output_Folder_Example/RaDeCC_Reader_Ouput_2020-07-15_200641/Read_Files/StnX009/1-StnX009-4000A-180118-detector2.txt,2018-01-18 05:56:52.000000000,2018-01-18 15:24:28.000000000,-999.0,-999.0,416,0.03593389368282442,375,0.034117189448620654,0.7329105003523608,0.049029033784546004,0.660676532769556,0.051639777949432225,5.190274841437632,0.051639777949432225,0.0014490123988862007,0.00020083595420241363,0.1498372351784702,0.021938325200757225,0.7314614879534747,0.03593445491849054,0.5108392975910858,0.040561961595653284,0.718435085864902,0.49730082428634226,567.6,0.03594933780865411,0.040654914800475235,0.26802464030836387,1.0,detector2,a,1,{},"{'Err224_CR2': '100%', 'Err226_short_read': True}",2017-12-24 16:50:00.000000000,2018-01-18 10:40:40.000000000,0.000194,0.3,0.7171755045460095,0.03597399451441257,0.4933535651470923,0.04070884765870285,3.699661423924084,0.18568341049845574,1.6513826511391092,0.05064388951167989,1.0337652597021112,0.08560907325792246,4.1107349154712045,0.20636545276204318,1.834869612376788,0.05630790891716968,1.1486280663356792,0.09512975395246057,35630.666666666664,24.743518518518517,-999.0,-999.0,3,None
6,1,41 22.97,13 53.26,StnX001,"Calm, sunny, clouds",12/24/17,11,Sampler001,16:50:00,18:20:00,400,900,1,/Users/seanselzer/Documents/GitHub/RaDeCC_Reader/Output_Folder_Example/RaDeCC_Reader_Ouput_2020-07-15_200641/Read_Files/StnX009/1-StnX009-3800B-180118-detector1.txt,2018-01-18 17:50:20.000000000,2018-01-19 04:06:14.000000000,0.0015909458265287975,0.0006089593597055402,517,0.03691773664848863,343,0.03007023733958782,0.839421984088326,0.04397994971335425,0.5569085890566651,0.053994924715603895,3.9649293716512424,0.053994924715603895,0.0006465231707452808,0.00010773610844961127,0.06771635947268513,0.011716207579475894,0.8387754609175807,0.03691789384995066,0.48919222958397995,0.03227210395534369,0.8263010590631892,0.47142000664552763,615.9,0.0369270647945285,0.03243502060215499,0.2140860629249955,0.38276561624615285,detector1,b,1,{},{'Err224_CR2': '100%'},2017-12-24 16:50:00.000000000,2018-01-18 22:58:17.000000000,0.000186,0.2,0.8259669056254432,0.03694099238880046,0.4640586919331738,0.032946492472116354,5.088216141604938,0.3049384570299875,2.0387416323895104,0.2159610640160629,1.0423506674325824,0.23555642286223508,5.653573490672152,0.33887873476416747,2.2652684804327894,0.23996993796352978,1.158167408258425,0.2617325222704874,36368.28333333333,25.255752314814814,47.51928992021498,3.637765384764021,3,None
7,1,41 22.97,13 53.26,StnX001,"Calm, sunny, clouds",12/24/17,11,Sampler001,16:50:00,18:20:00,400,900,1,/Users/seanselzer/Documents/GitHub/RaDeCC_Reader/Output_Folder_Example/RaDeCC_Reader_Ouput_2020-07-15_200641/Read_Files/StnX009/2-StnX009-3800b-180127-detector1.txt,2018-01-28 00:44:21.000000000,2018-01-28 10:56:25.200000000,-0.0004754975863308954,0.00045298671729049165,254,0.026038488163950574,193,0.022697475761677265,0.41498521410949724,0.06274558051381586,0.31532341072099596,0.07198157507486945,2.2742496773244887,0.07198157507486945,0.000228729839201744,4.883504658179341e-05,0.024211348687511625,0.0052884538008672296,0.4147564842702955,0.026038533958845856,0.29111206203348433,0.023305431760768432,0.4073331266884416,0.28673730607206493,612.07,0.026045314925317517,0.023332273241722146,0.1637040738873303,-0.9526582895738642,detector1,b,2,{},{'Err224_CR2': '100%'},2017-12-24 16:50:00.000000000,2018-01-28 05:50:23.100000000,0.000186,0.2,0.40699897325069556,0.02606505771889014,0.2793759913597111,0.024038214979057507,2.5072417928690354,0.18919413968040405,1.0045992708117741,0.22085618980741464,0.6275235355366844,0.14634566298431498,2.7858242142989282,0.2102384986239576,1.1162214120130824,0.24539890057429625,0.6972483728185382,0.16260813773089963,49740.38333333333,34.54193287037037,-14.202436867708942,2.7060156833545164,3,None
8,1,41 22.97,13 53.26,StnX001,"Calm, sunny, clouds",12/24/17,11,Sampler001,16:50:00,18:20:00,400,900,1,/Users/seanselzer/Documents/GitHub/RaDeCC_Reader/Output_Folder_Example/RaDeCC_Reader_Ouput_2020-07-15_200641/Read_Files/StnX009/StnX009_errorandspike_test-3200A-detector1.txt,2018-01-18 06:01:20.000000000,2018-01-18 15:24:30.800000000,-999.0,-999.0,53,0.013402757629663312,236,0.028282137589265465,0.09757354836334181,0.137360563948689,0.43447844176884276,0.06509445549041193,3.496078647962002,0.06509445549041193,0.0008679706013174044,0.0001308202207591256,0.09053811412130998,0.014248063280854113,0.0967055777620244,0.013403396062552864,0.3439403276475328,0.03166838508470815,0.08793509940701232,0.3437012871118632,563.18,0.013427700958478662,0.03166866474369262,0.22757533594074206,1.0,detector1,t,009,{90.08: 150.0},"{'S1': 1, 'Err223_Tot200': '1%', 'Err224_Tot100': '1%', 'Err223_CR10': '1%', 'Err223_CPM220_5': '1%', 'Err224_CPM219_1': '1%', 'Err224_CR2': '3%', 'Err226_short_read': True}",2017-12-24 16:50:00.000000000,2018-01-18 10:42:55.400000000,0.000186,0.2,0.08760094596926628,0.013465955493778966,0.33633997239950936,0.032192314787871365,0.5396494027362545,0.0857208019560032,0.2162262124158716,0.2618651266141203,0.7554738243441207,0.1783584948919323,0.5996104474847272,0.09524766560548942,0.2402513471287462,0.29096137424984236,0.8394153603823564,0.1981783001857717,35632.916666666664,24.745081018518515,-999.0,-999.0,3,None
9,1,41 22.97,13 53.26,StnX001,"Calm, sunny, clouds",12/24/17,11,Sampler001,16:50:00,18:20:00,400,900,1,/Users/seanselzer/Documents/GitHub/RaDeCC_Reader/Output_Folder_Example/RaDeCC_Reader_Ouput_2020-07-15_200641/Read_Files/StnX009/4-StnX009-4100B-180525-detector2.txt,2018-05-14 08:46:34.000000000,2018-05-14 18:45:07.000000000,0.01018448353978721,0.0005995689790770594,41,0.010697726568261382,338,0.03071552303207791,0.06849887227466378,0.15617376188860607,0.5646980202155208,0.05439282932204211,4.544315428953304,0.05439282932204211,0.0015413563585728951,0.0001895039626155421,0.15919477855583272,0.02070834908126535,0.06695751591609088,0.010699404912476788,0.4055032416596881,0.03704428534613203,0.056617183253768834,0.40538859177762504,598.55,0.010741023691940415,0.037044358257557454,0.24717817351257965,0.05887082803313034,detector2,b,4,{},{'Err224_CR2': '1%'},2017-12-24 16:50:00.000000000,2018-05-14 13:45:50.500000000,0.000194,0.3,0.055357601934876335,0.01082326117180416,0.40144133263837506,0.03710353970957274,0.28557080254581985,0.055835664585926245,0.1274675206618896,0.19564516187076847,0.8411738209824049,0.07797109954664158,0.31730089171757764,0.06204062905739244,0.14163057851321065,0.21738357015005788,0.9346375788693387,0.0866407789820273,202855.83333333334,140.8721064814815,194.4345845702026,3.434569060210634,4,None
10,1,41 22.97,13 53.26,StnX001,"Calm, sunny, clouds",12/24/17,11,Sampler001,16:50:00,18:20:00,400,900,1,/Users/seanselzer/Documents/GitHub/RaDeCC_Reader/Output_Folder_Example/RaDeCC_Reader_Ouput_2020-07-15_200641/Read_Files/StnX009/3-StnX009-3800A-180219-detector1.txt,2018-02-19 23:13:48.000000000,2018-02-20 09:04:33.000000000,0.005914764877594645,0.0005524630740519979,93,0.01632441940074982,255,0.027031264363387743,0.15742699957680914,0.10369516947304253,0.4316546762589928,0.06262242910851494,4.064325010579772,0.06262242910851494,0.001205928048985663,0.00017229664657182232,0.1251214367477355,0.01880011765391327,0.15622107152782347,0.016325328630872854,0.3065332395112573,0.032926185276833046,0.1484044739202864,0.305910028656292,590.75,0.016346905298232784,0.0329272300676299,0.254517904848996,0.09340406347253957,detector1,a,3,{},{'Err224_CR2': '11%'},2017-12-24 16:50:00.000000000,2018-02-20 04:09:10.500000000,0.000186,0.2,0.14807032048254037,0.01637834293081868,0.29854871394393817,0.03343117234976411,0.912159784660348,0.10727966601865233,0.36548332001319506,0.23882909575135108,0.6705885627187347,0.16339361333321398,1.0135108718448311,0.11920494824306072,0.40609257779243896,0.26536604555606097,0.7450984030208163,0.181550346891536,82759.16666666667,57.47164351851852,176.66561761035382,3.300490811600188,4,None
11,1,41 22.97,13 53.26,StnX001,"Calm, sunny, clouds",12/24/17,11,Sampler001,16:50:00,18:20:00,400,900,1,/Users/seanselzer/Documents/GitHub/RaDeCC_Reader/Output_Folder_Example/RaDeCC_Reader_Ouput_2020-07-15_200641/Read_Files/StnX009/4-StnX009-4000B-180514-detector2.txt,2018-05-14 08:44:13.000000000,2018-05-14 18:45:08.800000000,0.0032872027927130752,0.0003500210434714035,10,0.005262306192349158,81,0.014976785981728323,0.01664087331303147,0.31622776601683794,0.13479107383555491,0.1111111111111111,1.7705889205065484,0.1111111111111111,0.00025194529732753667,6.046646610403953e-05,0.02664816872593534,0.006550162700045977,0.01638892801570393,0.005262653575484463,0.10814290510961957,0.01634652102863382,0.013631283935408633,0.10813603082999826,600.93,0.0052791358331717095,0.01634652341674122,0.19673210227850535,0.10647990572632592,detector2,b,4,{},"{'Err224_CR2': '1%', 'Err223_CR10': '8%'}",2017-12-24 16:50:00.000000000,2018-05-14 13:44:40.900000000,0.000194,0.3,0.012371702616516137,0.005444508020687987,0.1041887716907483,0.0164802004866338,0.06382135283267894,0.028086593841241188,0.028487329721195716,0.440144452562896,0.21831550481006026,0.03456841747007935,0.07091261425853215,0.031207425956283612,0.031652588579106355,0.489049393001144,0.2425727831222892,0.03841029838661937,202854.66666666666,140.8712962962963,62.756830712353484,2.0048115663388035,4,None
12,1,41 22.97,13 53.26,StnX001,"Calm, sunny, clouds",12/24/17,11,Sampler001,16:50:00,18:20:00,400,900,1,/Users/seanselzer/Documents/GitHub/RaDeCC_Reader/Output_Folder_Example/RaDeCC_Reader_Ouput_2020-07-15_200641/Read_Files/StnX009/3-StnX009-3800A-180220-detector1.txt,2018-02-20 11:11:28.000000000,2018-02-20 21:07:46.000000000,0.0061778462705810435,0.0006091887532493442,72,0.014229886591042377,235,0.025708049164440534,0.12074459164849909,0.1178511301977579,0.3940969310749623,0.06523280730534421,3.8185477108837835,0.06523280730534421,0.001085935773840359,0.00015985378423754172,0.1128737632791508,0.01743182991222721,0.11965865587465872,0.014230784434677617,0.28122316779581147,0.03106078694962687,0.11248746509586553,0.28085732245629813,596.3,0.014252809159433758,0.031061279684368105,0.2490945870103451,0.09860859700415438,detector1,a,3,{},{'Err224_CR2': '15%'},2017-12-24 16:50:00.000000000,2018-02-20 16:09:37.000000000,0.000186,0.2,0.1121533116581195,0.014288854861931589,0.2734960077439443,0.031594998027908466,0.6908997041245549,0.09225906839417031,0.2768290401594519,0.24718601573731838,0.6143161439870185,0.150953904377789,0.7676663379161721,0.10251362458420256,0.307587822399391,0.27465134123542456,0.6825734933189095,0.1677282750866598,83479.61666666667,57.97195601851852,184.52348478438,3.6393514036559074,4,None
13,1,41 22.97,13 53.26,StnX001,"Calm, sunny, clouds",12/24/17,11,Sampler001,16:50:00,18:20:00,400,900,1,/Users/seanselzer/Documents/GitHub/RaDeCC_Reader/Output_Folder_Example/RaDeCC_Reader_Ouput_2020-07-15_200641/Read_Files/StnX009/5-StnX009-4100b-190814-detector2.txt,2019-08-14 16:35:50.000000000,2019-08-15 13:08:21.800000000,0.010467884589464595,0.00027849314878551407,95,0.007907957084053908,1333,0.02962221814240414,0.07707723138584863,0.1025978352085154,1.081515257235118,0.027389551783238836,7.9803331359074425,0.027389551783238836,0.0049881553291838115,0.00030431271496579425,0.49943136716778874,0.03350126158474364,0.07208907605666481,0.0079138101741025,0.5820838900673293,0.04471923898553728,0.057245936859947916,0.5819510043679463,1232.53,0.007995546769443085,0.04471927729798203,0.21857774767343366,0.026604529922483435,detector2,b,5,{},{'Err223_CR10': '38%'},2017-12-24 16:50:00.000000000,2019-08-15 02:52:05.900000000,0.000194,0.3,0.05598635554105542,0.00810568692860821,0.5780037452286964,0.04476831404374513,0.2888143258496539,0.041817433749302996,0.12891530128253775,0.14495484589233548,1.2111399085906815,0.09419075441393188,0.3209048064996154,0.04646518337172601,0.14323922364726419,0.16106101851585733,1.3457110095452018,0.10466707451670265,861722.0833333334,598.418113425926,199.8450666182626,1.596425664657646,5,None
